ID,Rating,Category,Aspect,Part
1,7,Orig,Ss,CSQ
1,6,Orig,Ap,CSQ
1,6,Orig,Re,CSQ
1,6,Orig,Me,CSQ
1,5,Orig,Ha,CSQ
1,6,Orig,Rh,CSQ
1,6,Orig,Ss,CSQ
1,6,Orig,Ap,CSQ
1,7,Orig,Re,CSQ
1,7,Orig,Me,CSQ
1,7,Orig,Ha,CSQ
1,6,Orig,Rh,CSQ
1,7,Orig,Ss,CSQ
1,7,Orig,Ap,CSQ
1,7,Orig,Re,CSQ
1,7,Orig,Me,CSQ
1,7,Orig,Ha,CSQ
1,7,Orig,Rh,CSQ
1,5,Orig,Ss,CSQ
1,3,Orig,Ap,CSQ
1,5,Orig,Re,CSQ
1,4,Orig,Me,CSQ
1,5,Orig,Ha,CSQ
1,3,Orig,Rh,CSQ
1,6,Orig,Ss,CSQ
1,5,Orig,Ap,CSQ
1,5,Orig,Re,CSQ
1,4,Orig,Me,CSQ
1,3,Orig,Ha,CSQ
1,3,Orig,Rh,CSQ
1,7,Orig,Ss,CSQ
1,7,Orig,Ap,CSQ
1,7,Orig,Re,CSQ
1,7,Orig,Me,CSQ
1,7,Orig,Ha,CSQ
1,7,Orig,Rh,CSQ
2,6,Orig,Ss,CSQ
2,6,Orig,Ap,CSQ
2,6,Orig,Re,CSQ
2,5,Orig,Me,CSQ
2,6,Orig,Ha,CSQ
2,6,Orig,Rh,CSQ
2,7,Orig,Ss,CSQ
2,6,Orig,Ap,CSQ
2,7,Orig,Re,CSQ
2,7,Orig,Me,CSQ
2,7,Orig,Ha,CSQ
2,7,Orig,Rh,CSQ
2,7,Orig,Ss,CSQ
2,5,Orig,Ap,CSQ
2,6,Orig,Re,CSQ
2,6,Orig,Me,CSQ
2,5,Orig,Ha,CSQ
2,6,Orig,Rh,CSQ
2,6,Orig,Ss,CSQ
2,6,Orig,Ap,CSQ
2,7,Orig,Re,CSQ
2,6,Orig,Me,CSQ
2,7,Orig,Ha,CSQ
2,7,Orig,Rh,CSQ
2,5,Orig,Ss,CSQ
2,4,Orig,Ap,CSQ
2,6,Orig,Re,CSQ
2,5,Orig,Me,CSQ
2,5,Orig,Ha,CSQ
2,5,Orig,Rh,CSQ
2,7,Orig,Ss,CSQ
2,4,Orig,Ap,CSQ
2,7,Orig,Re,CSQ
2,6,Orig,Me,CSQ
2,7,Orig,Ha,CSQ
2,5,Orig,Rh,CSQ
2,7,Orig,Ss,CSQ
2,7,Orig,Ap,CSQ
2,7,Orig,Re,CSQ
2,7,Orig,Me,CSQ
2,7,Orig,Ha,CSQ
2,7,Orig,Rh,CSQ
2,6,Orig,Ss,CSQ
2,7,Orig,Ap,CSQ
2,6,Orig,Re,CSQ
2,6,Orig,Me,CSQ
2,7,Orig,Ha,CSQ
2,7,Orig,Rh,CSQ
3,6,Orig,Ss,CSQ
3,6,Orig,Ap,CSQ
3,5,Orig,Re,CSQ
3,6,Orig,Me,CSQ
3,6,Orig,Ha,CSQ
3,6,Orig,Rh,CSQ
3,7,Orig,Ss,CSQ
3,7,Orig,Ap,CSQ
3,7,Orig,Re,CSQ
3,7,Orig,Me,CSQ
3,7,Orig,Ha,CSQ
3,7,Orig,Rh,CSQ
3,5,Orig,Ss,CSQ
3,4,Orig,Ap,CSQ
3,5,Orig,Re,CSQ
3,5,Orig,Me,CSQ
3,5,Orig,Ha,CSQ
3,4,Orig,Rh,CSQ
3,6,Orig,Ss,CSQ
3,4,Orig,Ap,CSQ
3,3,Orig,Re,CSQ
3,5,Orig,Me,CSQ
3,5,Orig,Ha,CSQ
3,6,Orig,Rh,CSQ
3,7,Orig,Ss,CSQ
3,6,Orig,Ap,CSQ
3,7,Orig,Re,CSQ
3,6,Orig,Me,CSQ
3,6,Orig,Ha,CSQ
3,6,Orig,Rh,CSQ
3,7,Orig,Ss,CSQ
3,6,Orig,Ap,CSQ
3,6,Orig,Re,CSQ
3,7,Orig,Me,CSQ
3,7,Orig,Ha,CSQ
3,7,Orig,Rh,CSQ
4,7,Orig,Ss,CSQ
4,7,Orig,Ap,CSQ
4,5,Orig,Re,CSQ
4,7,Orig,Me,CSQ
4,7,Orig,Ha,CSQ
4,7,Orig,Rh,CSQ
4,7,Orig,Ss,CSQ
4,7,Orig,Ap,CSQ
4,7,Orig,Re,CSQ
4,7,Orig,Me,CSQ
4,7,Orig,Ha,CSQ
4,7,Orig,Rh,CSQ
4,7,Orig,Ss,CSQ
4,5,Orig,Ap,CSQ
4,7,Orig,Re,CSQ
4,7,Orig,Me,CSQ
4,7,Orig,Ha,CSQ
4,7,Orig,Rh,CSQ
4,2,Orig,Ss,CSQ
4,6,Orig,Ap,CSQ
4,5,Orig,Re,CSQ
4,2,Orig,Me,CSQ
4,4,Orig,Ha,CSQ
4,4,Orig,Rh,CSQ
4,5,Orig,Ss,CSQ
4,3,Orig,Ap,CSQ
4,6,Orig,Re,CSQ
4,5,Orig,Me,CSQ
4,6,Orig,Ha,CSQ
4,5,Orig,Rh,CSQ
4,7,Orig,Ss,CSQ
4,7,Orig,Ap,CSQ
4,7,Orig,Re,CSQ
4,7,Orig,Me,CSQ
4,7,Orig,Ha,CSQ
4,7,Orig,Rh,CSQ
5,7,Orig,Ss,CSQ
5,7,Orig,Ap,CSQ
5,7,Orig,Re,CSQ
5,7,Orig,Me,CSQ
5,7,Orig,Ha,CSQ
5,7,Orig,Rh,CSQ
5,6,Orig,Ss,CSQ
5,7,Orig,Ap,CSQ
5,5,Orig,Re,CSQ
5,6,Orig,Me,CSQ
5,7,Orig,Ha,CSQ
5,6,Orig,Rh,CSQ
5,7,Orig,Ss,CSQ
5,7,Orig,Ap,CSQ
5,7,Orig,Re,CSQ
5,7,Orig,Me,CSQ
5,7,Orig,Ha,CSQ
